,count,mean,std,min,max,range,cv_percent
gm_max_raw,100.0,0.02153754792626379,0.02444592556086034,0.0,0.11300122936941573,0.11300122936941573,113.50375467325115
gm_max_forward,100.0,0.00015016830631381554,0.00016947372124753976,0.0,0.000952829279446958,0.000952829279446958,112.85585181561584
gm_max_reverse,100.0,0.02153754792626379,0.02444592556086034,0.0,0.11300122936941573,0.11300122936941573,113.50375467325115
I_max_raw,100.0,0.00038092113548416197,0.0003344010681619698,0.0,0.0012858614972848545,0.0012858614972848545,87.78748066497707
I_max_forward,100.0,2.8435161999656247e-06,2.488363023603368e-06,0.0,9.130490708114129e-06,9.130490708114129e-06,87.5100702304228
I_max_reverse,100.0,0.00038092113548416197,0.0003344010681619698,0.0,0.0012858614972848545,0.0012858614972848545,87.78748066497707
I_min_raw,100.0,2.7542298672291587e-09,2.8433546099795667e-09,0.0,1.2976042720722458e-08,1.2976042720722458e-08,103.23592245552366
I_min_forward,100.0,2.7542298672291587e-09,2.8433546099795667e-09,0.0,1.2976042720722458e-08,1.2976042720722458e-08,103.23592245552366
I_min_reverse,100.0,2.917681811863433e-07,2.712987892421866e-07,0.0,1.1666449957724735e-06,1.1666449957724735e-06,92.98436455238976
Von_raw,100.0,-0.06064429530201345,0.3687050849457869,-0.6,0.6,1.2,-607.9798324139246
Von_forward,100.0,-0.32287248322147655,0.19097302593635232,-0.6,-0.004026845637583931,0.595973154362416,-59.14812684899912
Von_reverse,100.0,0.2531275167785234,0.18365684979260732,-0.004026845637583931,0.6,0.6040268456375839,72.55507110801383
absgm_max_raw,100.0,0.024330312084772876,0.02600262028285316,0.0,0.11300122936941573,0.11300122936941573,106.87335284583916
absgm_max_forward,100.0,0.00017145616480109303,0.0001778560066388157,0.0,0.000952829279446958,0.000952829279446958,103.7326402612278
absgm_max_reverse,100.0,0.024330312084772876,0.02600262028285316,0.0,0.11300122936941573,0.11300122936941573,106.87335284583916
absI_max_raw,100.0,0.00038092113548416197,0.0003344010681619698,0.0,0.0012858614972848545,0.0012858614972848545,87.78748066497707
absI_max_forward,100.0,2.8435161999656247e-06,2.488363023603368e-06,0.0,9.130490708114129e-06,9.130490708114129e-06,87.5100702304228
absI_max_reverse,100.0,0.00038092113548416197,0.0003344010681619698,0.0,0.0012858614972848545,0.0012858614972848545,87.78748066497707
absI_min_raw,100.0,2.7542298672291587e-09,2.8433546099795667e-09,0.0,1.2976042720722458e-08,1.2976042720722458e-08,103.23592245552366
absI_min_forward,100.0,2.7542298672291587e-09,2.8433546099795667e-09,0.0,1.2976042720722458e-08,1.2976042720722458e-08,103.23592245552366
absI_min_reverse,100.0,2.917681811863433e-07,2.712987892421866e-07,0.0,1.1666449957724735e-06,1.1666449957724735e-06,92.98436455238976
