parameter,drift_detected,max_drift_percent,final_drift_percent,drift_direction,initial_value,final_value
gm_max_raw,True,7184.529855779755,2219.871151195946,increase,0.0015512494506389773,0.03598698848845923
gm_max_forward,True,4142.6007685993545,1212.6215457924834,increase,2.2458612804181515e-05,0.000294796590553796
gm_max_reverse,True,7184.529855779755,2219.871151195946,increase,0.0015512494506389773,0.03598698848845923
I_max_raw,True,888.5509735455562,571.3129928816041,increase,0.0001300753862669275,0.000873212968550818
I_max_forward,True,815.2464848518908,783.4082935470979,increase,9.975991013602927e-07,8.812873197768145e-06
I_max_reverse,True,888.5509735455562,571.3129928816041,increase,0.0001300753862669275,0.000873212968550818
I_min_raw,True,100.0,-51.33003428389634,decrease,7.470428004479134e-09,3.6358547486262014e-09
I_min_forward,True,100.0,-51.33003428389634,decrease,7.470428004479134e-09,3.6358547486262014e-09
I_min_reverse,True,100.0,-97.24939614284509,decrease,8.963673960459231e-07,2.465551616991814e-08
Von_raw,True,309.85915492957747,-39.43661971830989,decrease,0.28590604026845634,0.17315436241610727
Von_forward,True,14799.999999999858,7799.9999999999245,increase,-0.004026845637583931,-0.3181208053691275
Von_reverse,True,109.85915492957747,-39.43661971830989,decrease,0.28590604026845634,0.17315436241610727
absgm_max_raw,True,7184.529855779755,2244.1546984036663,increase,0.0015512494506389773,0.036363686881114646
absI_max_raw,True,888.5509735455562,571.3129928816041,increase,0.0001300753862669275,0.000873212968550818
absI_min_raw,True,100.0,-51.33003428389634,decrease,7.470428004479134e-09,3.6358547486262014e-09
